K00001	Adh; Alcohol dehydrogenase (EC:1.1.1.1 1.2.1.10); K00001 alcohol dehydrogenase [EC:1.1.1.1] (A)
K04696	SOCS3, ATOD4, CIS3, Cish3, SOCS-3, SSI-3, SSI3; suppressor of cytokine signaling 3; K04696 suppressor of cytokine signaling 3 (A)
K04697	SOCS4, SOCS7; suppressor of cytokine signaling 4; K04697 suppressor of cytokine signaling 4 (A)
K04698	SOCS5, CIS6, CISH6, Cish5, SOCS-5; suppressor of cytokine signaling 5; K04698 suppressor of cytokine signaling 5 (A)
K04699	SOCS7, NAP4, NCKAP4; suppressor of cytokine signaling 7; K04699 suppressor of cytokine signaling 7 (A)
K04700	Socs36E; Suppressor of cytokine signaling at 36E; K04700 suppressor of cytokine signaling, invertebrate (A)
K04701	CISH, BACTS2, CIS, CIS-1, G18, SOCS; cytokine inducible SH2-containing protein; K04701 cytokine inducible SH2-containing protein (A)
K04702	PIM1, PIM; pim-1 oncogene (EC:2.7.11.1); K04702 proto-oncogene serine/threonine-protein kinase Pim-1 [EC:2.7.11.1] (A)
K04703	SPRED1, NFLS, hSpred1, spred-1; sprouty-related, EVH1 domain containing 1; K04703 sprouty-related, EVH1 domain containing (A)
K04704	SPRY3, HSPRY3; sprouty homolog 3 (Drosophila); K04704 sprouty (A)
K04705	STAM2, Hbp, STAM2A, STAM2B; signal transducing adaptor molecule (SH3 domain and ITAM motif) 2; K04705 signal transducing adaptor molecule (A)
K04706	PIAS1, DDXBP1, GBP, GU/RH-II, ZMIZ3; protein inhibitor of activated STAT, 1; K04706 E3 SUMO-protein ligase PIAS1 [EC:6.3.2.-] (A)
K04707	CBLC, CBL-3, CBL-SL, RNF57; Cbl proto-oncogene, E3 ubiquitin protein ligase C; K04707 E3 ubiquitin-protein ligase CBL [EC:6.3.2.19] (A)
K04708	KDSR, DHSR, FVT1, SDR35C1; 3-ketodihydrosphingosine reductase (EC:1.1.1.102); K04708 3-dehydrosphinganine reductase [EC:1.1.1.102] (A)
K04709	LAG1; Lag1p; K04709 Acyl-CoA-dependent ceramide synthase [EC:2.3.1.24] (A)
K04710	CERS1, LAG1, LASS1, UOG1; ceramide synthase 1; K04710 ceramide synthetase [EC:2.3.1.24] (A)
K04711	ACER3, APHC, PHCA; alkaline ceramidase 3 (EC:3.5.1.23); K04711 dihydroceramidase [EC:3.5.1.-] (A)
K04712	DEGS2, C14orf66, DES2, FADS8; delta(4)-desaturase, sphingolipid 2; K04712 sphingolipid delta-4 desaturase [EC:1.14.-.-] (A)
K04713	SBH2; sphingoid base hydroxylase 2; K04713 C4-hydroxylase [EC:1.14.-.-] (A)
K04714	SGMS2, SMS2; sphingomyelin synthase 2 (EC:2.7.8.27); K04714 shingomyelin synthase [EC:2.7.8.27] (A)
K04715	CERK, LK4, dA59H18.2, dA59H18.3, hCERK; ceramide kinase (EC:2.7.1.138); K04715 ceramide kinase [EC:2.7.1.138] (A)
K04716	SGPP1, SPPase1; sphingosine-1-phosphate phosphatase 1; K04716 sphingosine-1-phosphate phosphatase 1 [EC:3.1.3.-] (A)
K04717	SGPP2, SPP2; sphingosine-1-phosphate phosphatase 2; K04717 sphingosine-1-phosphate phosphotase 2 [EC:3.1.3.-] (A)
K04718	SPHK2, SK_2, SK-2, SPK_2, SPK-2; sphingosine kinase 2 (EC:2.7.1.91); K04718 sphingosine kinase [EC:2.7.1.91] (A)
K04719	oxidoreductase protein; K04719 5,6-dimethylbenzimidazole synthase [EC:1.14.99.40] (A)
K04720	putative aminotransferase in cobalamin synthesis; K04720 threonine-phosphate decarboxylase [EC:4.1.1.81] (A)
K04721	TNFSF10, APO2L, Apo-2L, CD253, TL2, TRAIL; tumor necrosis factor (ligand) superfamily, member 10; K04721 tumor necrosis factor ligand superfamily member 10 (A)
K04722	TNFRSF10D, CD264, DCR2, TRAIL-R4, TRAILR4, TRUNDD; tumor necrosis factor receptor superfamily, member 10d, decoy with truncated death domain; K04722 tumor necrosis factor receptor superfamily member 10 (A)
K04723	IL1RAP, C3orf13, IL-1RAcP, IL1R3; interleukin 1 receptor accessory protein; K04723 interleukin 1 receptor accessory protein (A)
K04724	CFLAR, CASH, CASP8AP1, CLARP, Casper, FLAME, FLAME-1, FLAME1, FLIP, I-FLICE, MRIT, c-FLIP, c-FLIPL, c-FLIPR, c-FLIPS; CASP8 and FADD-like apoptosis regulator; K04724 CASP8 and FADD-like apoptosis regulator (A)
K04725	XIAP, API3, BIRC4, IAP-3, ILP1, MIHA, XLP2, hIAP-3, hIAP3; X-linked inhibitor of apoptosis; K04725 E3 ubiquitin-protein ligase XIAP (A)
K04726	BID, FP497; BH3 interacting domain death agonist; K04726 BH3 interacting domain death agonist (A)
K04727	AIFM1, AIF, COXPD6, PDCD8; apoptosis-inducing factor, mitochondrion-associated, 1; K04727 programmed cell death 8 (apoptosis-inducing factor) [EC:1.-.-.-] (A)
K04728	ATM, AT1, ATA, ATC, ATD, ATDC, ATE, TEL1, TELO1; ataxia telangiectasia mutated (EC:2.7.11.1); K04728 ataxia telangiectasia mutated family protein [EC:2.7.11.1] (A)
K04729	MYD88, MYD88D; myeloid differentiation primary response gene (88); K04729 myeloid differentiation primary response protein MyD88 (A)
K04730	IRAK1, IRAK, pelle; interleukin-1 receptor-associated kinase 1 (EC:2.7.11.1); K04730 interleukin-1 receptor-associated kinase 1 [EC:2.7.11.1] (A)
K04731	IRAK2, IRAK-2; interleukin-1 receptor-associated kinase 2; K04731 interleukin-1 receptor-associated kinase 2 [EC:2.7.11.1] (A)
K04732	IRAK3, ASRT5, IRAKM; interleukin-1 receptor-associated kinase 3 (EC:2.7.11.1); K04732 interleukin-1 receptor-associated kinase 3 [EC:2.7.11.1] (A)
K04733	IRAK4, IPD1, IRAK-4, NY-REN-64, REN64; interleukin-1 receptor-associated kinase 4 (EC:2.7.11.1); K04733 interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1] (A)
K04734	NFKBIA, IKBA, MAD-3, NFKBI; nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha; K04734 NF-kappa-B inhibitor alpha (A)
K04735	RELA, NFKB3, p65; v-rel reticuloendotheliosis viral oncogene homolog A (avian); K04735 transcription factor p65 (A)
K04736	IL3, IL-3, MCGF, MULTI-CSF; interleukin 3 (colony-stimulating factor, multiple); K04736 interleukin 3 (A)
K04737	IL3RA, CD123, IL3R, IL3RAY, IL3RX, IL3RY, hIL-3Ra; interleukin 3 receptor, alpha (low affinity); K04737 interleukin 3 receptor alpha (A)
K04738	CSF2RB, CD131, CDw131, IL3RB, IL5RB, SMDP5; colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage); K04738 cytokine receptor common subunit beta (A)
K04739	PRKAR1A, ACRDYS1, ADOHR, CAR, CNC, CNC1, PKR1, PPNAD1, PRKAR1, TSE1; protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1) (EC:2.7.11.1); K04739 cAMP-dependent protein kinase regulator (A)
K04740	CAPN12; calpain 12; K04740 calpain-12 [EC:3.4.22.-] (A)
K04741	CASP12; caspase 12 (gene/pseudogene); K04741 caspase 12 [EC:3.4.22.-] (A)
K04742	CHST12, C4S-2, C4ST-2, C4ST2; carbohydrate (chondroitin 4) sulfotransferase 12 (EC:2.8.2.5); K04742 chondroitin 4-sulfotransferase 12 [EC:2.8.2.5] (A)
K04743	CHST7, C6ST-2; carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 7 (EC:2.8.2.17); K04743 chondroitin 6-sulfotransferase 7 [EC:2.8.2.17] (A)
K04744	lptD; LPS assembly OM complex LptDE, beta-barrel component; K04744 LPS-assembly protein (A)
K04745	CHST2, C6ST, GST-2, GST2, Gn6ST-1, glcNAc6ST-1; carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2; K04745 carbohydrate 6-sulfotransferase 2 [EC:2.8.2.-] (A)
K04746	CHST4, GST3, GlcNAc6ST2, HECGLCNAC6ST, LSST; carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 4; K04746 carbohydrate 6-sulfotransferase 4 [EC:2.8.2.-] (A)
K04747	norF; NorF protein; K04747 nitric oxide reductase NorF protein (A)
K04748	denitrification regulatory protein NirQ; K04748 nitric oxide reductase NorQ protein (A)
K04749	putative anti-sigma F factor antagonist; K04749 anti-sigma B factor antagonist (A)
K04750	yjdN; conserved protein; K04750 PhnB protein (A)
K04751	glnB; regulatory protein P-II for glutamine synthetase; K04751 nitrogen regulatory protein P-II 1 (A)
K04752	glnK; nitrogen assimilation regulatory protein for GlnL, GlnE, and AmtB; K04752 nitrogen regulatory protein P-II 2 (A)
K04753	ftsP; septal ring component that protects the divisome from stress; multicopy suppressor of ftsI(Ts); K04753 suppressor of ftsI (A)
K04754	mlaA; ABC transporter maintaining OM lipid asymmetry, OM lipoprotein component; K04754 lipoprotein (A)
K04755	fdx; [2Fe-2S] ferredoxin; K04755 ferredoxin, 2Fe-2S (A)
K04756	ahpD; alkyl hydroperoxide reductase; K04756 alkyl hydroperoxide reductase subunit D (A)
K04757	putative anti-sigma regulatory factor; K04757 anti-sigma B factor [EC:2.7.11.1] (A)
K04758	feoA; ferrous iron transporter, protein A; K04758 ferrous iron transport protein A (A)
K04759	feoB; fused ferrous iron transporter, protein B: GTP-binding protein/membrane protein; K04759 ferrous iron transport protein B (A)
K04760	greB; transcript cleavage factor; K04760 transcription elongation factor GreB (A)
K04761	oxyR; DNA-binding transcriptional dual regulator; K04761 LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator (A)
K04762	hslR; ribosome-associated heat shock protein Hsp15; K04762 ribosome-associated heat shock protein Hsp15 (A)
K04763	xerD; site-specific tyrosine recombinase; K04763 integrase/recombinase XerD (A)
K04764	ihfA; integration host factor (IHF), DNA-binding protein, alpha subunit; K04764 integration host factor subunit alpha (A)
K04765	mazG; nucleoside triphosphate pyrophosphohydrolase; K04765 ATP diphosphatase [EC:3.6.1.8] (A)
K04766	acuA; protein acetyltransferase (EC:2.3.1.-); K04766 acetoin utilization protein AcuA [EC:2.3.1.-] (A)
K04767	acetoin utilization protein AcuB; K04767 acetoin utilization protein AcuB (A)
K04768	histone deacetylase superfamily protein; K04768 acetoin utilization protein AcuC (A)
K04769	spoVT; transcriptional regulator; K04769 AbrB family transcriptional regulator, stage V sporulation protein T (A)
K04770	ycbZ; predicted peptidase; K04770 Lon-like ATP-dependent protease [EC:3.4.21.-] (A)
K04771	degP; serine endoprotease (protease Do), membrane-associated (EC:3.4.21.-); K04771 serine protease Do [EC:3.4.21.107] (A)
K04772	degQ; serine endoprotease, periplasmic (EC:3.4.21.-); K04772 serine protease DegQ [EC:3.4.21.-] (A)
K04773	SPPA; signal peptide peptidase; K04773 protease IV [EC:3.4.21.-] (A)
K04774	sohB; predicted inner membrane peptidase; multicopy suppressor of htrA(degP); K04774 serine protease SohB [EC:3.4.21.-] (A)
K04775	ydgD; predicted peptidase; K04775 protease YdgD [EC:3.4.21.-] (A)
K04778	vibriobactin synthesis protein; K04778 vibriobactin synthetase (A)
K04780	acmB; antibiotic synthetase; K04780 nonribosomal peptide synthetase DhbF (A)
K04781	salicylate synthetase, putative; K04781 salicylate synthetase [EC:5.4.4.2 4.2.99.21] (A)
K04782	chorismate mutase; K04782 isochorismate pyruvate lyase [EC:4.2.99.21] (A)
K04783	siderophore biosynthetic protein; K04783 yersiniabactin salicyl-AMP ligase [EC:6.3.2.-] (A)
K04784	siderophore biosynthetic protein; K04784 yersiniabactin nonribosomal peptide synthetase (A)
K04785	siderophore biosynthetic protein; K04785 yersiniabactin synthetase, thiazolinyl reductase component (A)
K04786	siderophore biosynthetic protein; K04786 yersiniabactin nonribosomal peptide/polyketide synthase (A)
K04787	AMP-dependent synthetase and ligase; K04787 mycobactin salicyl-AMP ligase [EC:6.3.2.-] (A)
K04788	glutamate racemase (EC:5.1.1.3); K04788 mycobactin phenyloxazoline synthetase (A)
K04789	mbtE; peptide synthetase; K04789 mycobactin peptide synthetase MbtE (A)
K04790	mbtC; polyketide synthase; K04790 mycobactin polyketide synthetase MbtC (A)
K04791	mbtD; polyketide synthase; K04791 mycobactin polyketide synthetase MbtD (A)
K04792	mbtF; peptide synthetase; K04792 mycobactin peptide synthetase MbtF (A)
K04793	mbtG; hydroxylase; K04793 mycobactin lysine-N-oxygenase (A)
K04794	PTRH2, BIT1, PTH2; peptidyl-tRNA hydrolase 2 (EC:3.1.1.29); K04794 peptidyl-tRNA hydrolase, PTH2 family [EC:3.1.1.29] (A)
K04795	fibrillarin; K04795 fibrillarin-like pre-rRNA processing protein (A)
K04796	putative U6 snRNA-ASSOCIATED SM-LIKE PROTEIN; K04796 small nuclear ribonucleoprotein (A)
K04797	PFDN5, MM-1, MM1, PFD5; prefoldin subunit 5; K04797 prefoldin alpha subunit (A)
K04798	PFDN6, H2-KE2, HKE2, KE-2, PFD6; prefoldin subunit 6; K04798 prefoldin beta subunit (A)
K04799	FEN1, FEN-1, MF1, RAD2; flap structure-specific endonuclease 1; K04799 flap endonuclease-1 [EC:3.-.-.-] (A)
K04800	replication factor C large subunit; K04800 replication factor C large subunit (A)
K04801	replication factor C small subunit; K04801 replication factor C small subunit (A)
K04802	PCNA; proliferating cell nuclear antigen; K04802 proliferating cell nuclear antigen (A)
K04803	CHRNA1, ACHRA, ACHRD, CHRNA, CMS2A, FCCMS, SCCMS; cholinergic receptor, nicotinic, alpha 1 (muscle); K04803 nicotinic acetylcholine receptor alpha-1 (A)
K04804	CHRNA2; cholinergic receptor, nicotinic, alpha 2 (neuronal); K04804 nicotinic acetylcholine receptor alpha-2 (A)
K04805	CHRNA3, LNCR2, NACHRA3, PAOD2; cholinergic receptor, nicotinic, alpha 3 (neuronal); K04805 nicotinic acetylcholine receptor alpha-3 (A)
K04806	CHRNA4, BFNC, EBN, EBN1, NACHR, NACHRA4, NACRA4; cholinergic receptor, nicotinic, alpha 4 (neuronal); K04806 nicotinic acetylcholine receptor alpha-4 (A)
K04807	CHRNA5, LNCR2; cholinergic receptor, nicotinic, alpha 5 (neuronal); K04807 nicotinic acetylcholine receptor alpha-5 (A)
K04808	CHRNA6, CHNRA6; cholinergic receptor, nicotinic, alpha 6 (neuronal); K04808 nicotinic acetylcholine receptor alpha-6 (A)
K04809	CHRNA7, CHRNA7-2, NACHRA7; cholinergic receptor, nicotinic, alpha 7 (neuronal); K04809 nicotinic acetylcholine receptor alpha-7 (A)
K04810	CHRNA9, HSA243342, NACHRA9; cholinergic receptor, nicotinic, alpha 9 (neuronal); K04810 nicotinic acetylcholine receptor alpha-9 (A)
K04811	CHRNA10; cholinergic receptor, nicotinic, alpha 10 (neuronal); K04811 nicotinic acetylcholine receptor alpha-10 (A)
K04812	CHRNB1, ACHRB, CHRNB, CMS1D, CMS2A, SCCMS; cholinergic receptor, nicotinic, beta 1 (muscle); K04812 nicotinic acetylcholine receptor beta-1 (A)
K04813	CHRNB2, EFNL3, nAChRB2; cholinergic receptor, nicotinic, beta 2 (neuronal); K04813 nicotinic acetylcholine receptor beta-2 (A)
K04814	CHRNB3; cholinergic receptor, nicotinic, beta 3 (neuronal); K04814 nicotinic acetylcholine receptor beta-3 (A)
K04815	CHRNB4; cholinergic receptor, nicotinic, beta 4 (neuronal); K04815 nicotinic acetylcholine receptor beta-4 (A)
K04816	CHRND, ACHRD, CMS2A, FCCMS, SCCMS; cholinergic receptor, nicotinic, delta (muscle); K04816 nicotinic acetylcholine receptor delta (A)
K04817	CHRNE, ACHRE, CMS1D, CMS1E, CMS2A, FCCMS, SCCMS; cholinergic receptor, nicotinic, epsilon (muscle); K04817 nicotinic acetylcholine receptor epsilon (A)
K04818	CHRNG, ACHRG; cholinergic receptor, nicotinic, gamma (muscle); K04818 nicotinic acetylcholine receptor gamma (A)
K04819	HTR3C; 5-hydroxytryptamine (serotonin) receptor 3C, ionotropic; K04819 5-hydroxytryptamine receptor 3 (A)
K04824	SCNN1A, BESC2, ENaCa, ENaCalpha, SCNEA, SCNN1; sodium channel, non-voltage-gated 1 alpha subunit; K04824 nonvoltage-gated sodium channel 1 alpha (A)
K04825	SCNN1B, BESC1, ENaCb, ENaCbeta, SCNEB; sodium channel, non-voltage-gated 1, beta subunit; K04825 nonvoltage-gated sodium channel 1 beta (A)
K04826	SCNN1D, ENaCd, ENaCdelta, SCNED, dNaCh; sodium channel, non-voltage-gated 1, delta subunit; K04826 nonvoltage-gated sodium channel 1 delta (A)
K04827	SCNN1G, BESC3, ENaCg, ENaCgamma, PHA1, SCNEG; sodium channel, non-voltage-gated 1, gamma subunit; K04827 nonvoltage-gated sodium channel 1 gamma (A)
K04828	ASIC2, ACCN, ACCN1, ASIC2a, BNC1, BNaC1, MDEG, hBNaC1; acid-sensing (proton-gated) ion channel 2; K04828 amiloride-sensitive cation channel 1, neuronal (degenerin) (A)
K04829	ASIC1, ACCN2, ASIC, BNaC2; acid-sensing (proton-gated) ion channel 1; K04829 amiloride-sensitive cation channel 2, neuronal (A)
K04830	ASIC3, ACCN3, DRASIC, SLNAC1, TNaC1; acid-sensing (proton-gated) ion channel 3; K04830 amiloride-sensitive cation channel 3 (A)
K04831	ASIC4, ACCN4, BNAC4; acid-sensing (proton-gated) ion channel family member 4; K04831 amiloride-sensitive cation channel 4, pituitary (A)
K04832	ASIC5, ACCN5, HINAC, INAC; acid-sensing (proton-gated) ion channel family member 5; K04832 amiloride-sensitive cation channel 5, intestinal (A)
K04833	SCN1A, EIEE6, FEB3, FEB3A, FHM3, GEFSP2, HBSCI, NAC1, Nav1.1, SCN1, SMEI; sodium channel, voltage-gated, type I, alpha subunit; K04833 voltage-gated sodium channel type I alpha (A)
K04834	SCN2A, BFIC3, BFIS3, BFNIS, EIEE11, HBA, HBSCI, HBSCII, NAC2, Na(v)1.2, Nav1.2, SCN2A1, SCN2A2; sodium channel, voltage-gated, type II, alpha subunit; K04834 voltage-gated sodium channel type II alpha (A)
K04835	methylaspartate ammonia-lyase C-terminal domain protein; K04835 methylaspartate ammonia-lyase [EC:4.3.1.2] (A)
K04836	SCN3A, NAC3, Nav1.3; sodium channel, voltage-gated, type III, alpha subunit; K04836 voltage-gated sodium channel type III alpha (A)
K04837	SCN4A, HOKPP2, HYKPP, HYPP, NAC1A, Na(V)1.4, Nav1.4, SkM1; sodium channel, voltage-gated, type IV, alpha subunit; K04837 voltage-gated sodium channel type IV alpha (A)
K04838	SCN5A, CDCD2, CMD1E, CMPD2, HB1, HB2, HBBD, HH1, ICCD, IVF, LQT3, Nav1.5, PFHB1, SSS1, VF1; sodium channel, voltage-gated, type V, alpha subunit; K04838 voltage-gated sodium channel type V alpha (A)
K04839	SCN7A, NaG, Nav2.1, Nav2.2, SCN6A; sodium channel, voltage-gated, type VII, alpha subunit; K04839 voltage-gated sodium channel type VII alpha (A)
K04840	SCN8A, CERIII, CIAT, EIEE13, MED, NaCh6, Nav1.6, PN4; sodium channel, voltage gated, type VIII, alpha subunit; K04840 voltage-gated sodium channel type VIII alpha (A)
K04841	SCN9A, ETHA, FEB3B, GEFSP7, NE-NA, NENA, Nav1.7, PN1, SFNP; sodium channel, voltage-gated, type IX, alpha subunit; K04841 voltage-gated sodium channel type IX alpha (A)
K04842	SCN10A, Nav1.8, PN3, SNS, hPN3; sodium channel, voltage-gated, type X, alpha subunit; K04842 voltage-gated sodium channel type X alpha (A)
K04843	SCN11A, NAV1.9, NaN, SCN12A, SNS-2; sodium channel, voltage-gated, type XI, alpha subunit; K04843 voltage-gated sodium channel type XI alpha (A)
K04845	SCN1B, GEFSP1; sodium channel, voltage-gated, type I, beta subunit; K04845 voltage-gated sodium channel type I beta (A)
K04846	SCN2B; sodium channel, voltage-gated, type II, beta subunit; K04846 voltage-gated sodium channel type II beta (A)
K04847	SCN3B, HSA243396, SCNB3; sodium channel, voltage-gated, type III, beta subunit; K04847 voltage-gated sodium channel type III beta (A)
K04848	SCN4B, LQT10, Navbeta4; sodium channel, voltage-gated, type IV, beta subunit; K04848 voltage-gated sodium channel type IV beta (A)
K04849	CACNA1B, BIII, CACNL1A5, CACNN, Cav2.2; calcium channel, voltage-dependent, N type, alpha 1B subunit; K04849 voltage-dependent calcium channel N type alpha-1B (A)
K04850	CACNA1C, CACH2, CACN2, CACNL1A1, CCHL1A1, CaV1.2, LQT8, TS; calcium channel, voltage-dependent, L type, alpha 1C subunit; K04850 voltage-dependent calcium channel L type alpha-1C (A)
K04851	CACNA1D, CACH3, CACN4, CACNL1A2, CCHL1A2, Cav1.3; calcium channel, voltage-dependent, L type, alpha 1D subunit; K04851 voltage-dependent calcium channel L type alpha-1D (A)
K04852	CACNA1E, BII, CACH6, CACNL1A6, Cav2.3; calcium channel, voltage-dependent, R type, alpha 1E subunit; K04852 voltage-dependent calcium channel R type alpha-1E (A)
K04853	CACNA1F, AIED, COD3, COD4, CORDX, CORDX3, CSNB2, CSNB2A, CSNBX2, Cav1.4, JM8, JMC8, OA2; calcium channel, voltage-dependent, L type, alpha 1F subunit; K04853 voltage-dependent calcium channel L type alpha-1F (A)
K04854	CACNA1G, Ca(V)T.1, Cav3.1, NBR13; calcium channel, voltage-dependent, T type, alpha 1G subunit; K04854 voltage-dependent calcium channel T type alpha-1G (A)
K04855	CACNA1H, CACNA1HB, Cav3.2, ECA6, EIG6; calcium channel, voltage-dependent, T type, alpha 1H subunit; K04855 voltage-dependent calcium channel T type alpha-1H (A)
K04856	CACNA1I, Cav3.3, ca(v)3.3; calcium channel, voltage-dependent, T type, alpha 1I subunit; K04856 voltage-dependent calcium channel T type alpha-1I (A)
K04857	CACNA1S, CACNL1A3, CCHL1A3, Cav1.1, HOKPP, HOKPP1, MHS5, TTPP1, hypoPP; calcium channel, voltage-dependent, L type, alpha 1S subunit; K04857 voltage-dependent calcium channel L type alpha-1S (A)
K04858	CACNA2D1, CACNA2, CACNL2A, CCHL2A, MHS3; calcium channel, voltage-dependent, alpha 2/delta subunit 1; K04858 voltage-dependent calcium channel alpha-2/delta-1 (A)
K04859	CACNA2D2, CACNA2D, LUAC11.1; calcium channel, voltage-dependent, alpha 2/delta subunit 2; K04859 voltage-dependent calcium channel alpha-2/delta-2 (A)
K04860	CACNA2D3, HSA272268; calcium channel, voltage-dependent, alpha 2/delta subunit 3; K04860 voltage-dependent calcium channel alpha-2/delta-3 (A)
K04861	CACNA2D4, RCD4; calcium channel, voltage-dependent, alpha 2/delta subunit 4; K04861 voltage-dependent calcium channel alpha-2/delta-4 (A)
K04862	CACNB1, CAB1, CACNLB1, CCHLB1; calcium channel, voltage-dependent, beta 1 subunit; K04862 voltage-dependent calcium channel beta-1 (A)
K04863	CACNB2, CACNLB2, CAVB2, MYSB; calcium channel, voltage-dependent, beta 2 subunit; K04863 voltage-dependent calcium channel beta-2 (A)
K04864	CACNB3, CAB3, CACNLB3; calcium channel, voltage-dependent, beta 3 subunit; K04864 voltage-dependent calcium channel beta-3 (A)
K04865	CACNB4, CAB4, CACNLB4, EA5, EIG9, EJM, EJM4, EJM6; calcium channel, voltage-dependent, beta 4 subunit; K04865 voltage-dependent calcium channel beta-4 (A)
K04866	CACNG1, CACNLG; calcium channel, voltage-dependent, gamma subunit 1; K04866 voltage-dependent calcium channel gamma-1 (A)
K04867	CACNG2, MRD10; calcium channel, voltage-dependent, gamma subunit 2; K04867 voltage-dependent calcium channel gamma-2 (A)
K04868	CACNG3; calcium channel, voltage-dependent, gamma subunit 3; K04868 voltage-dependent calcium channel gamma-3 (A)
K04869	CACNG4; calcium channel, voltage-dependent, gamma subunit 4; K04869 voltage-dependent calcium channel gamma-4 (A)
K04870	CACNG5; calcium channel, voltage-dependent, gamma subunit 5; K04870 voltage-dependent calcium channel gamma-5 (A)
K04871	CACNG6; calcium channel, voltage-dependent, gamma subunit 6; K04871 voltage-dependent calcium channel gamma-6 (A)
K04872	CACNG7; calcium channel, voltage-dependent, gamma subunit 7; K04872 voltage-dependent calcium channel gamma-7 (A)
K04873	CACNG8; calcium channel, voltage-dependent, gamma subunit 8; K04873 voltage-dependent calcium channel gamma-8 (A)
K04874	KCNA1, AEMK, EA1, HBK1, HUK1, KV1.1, MBK1, MK1, RBK1; potassium voltage-gated channel, shaker-related subfamily, member 1 (episodic ataxia with myokymia); K04874 potassium voltage-gated channel Shaker-related subfamily A member 1 (A)
K04875	KCNA2, HBK5, HK4, HUKIV, KV1.2, MK2, NGK1, RBK2; potassium voltage-gated channel, shaker-related subfamily, member 2; K04875 potassium voltage-gated channel Shaker-related subfamily A member 2 (A)
K04876	KCNA3, HGK5, HLK3, HPCN3, HUKIII, KV1.3, MK3, PCN3; potassium voltage-gated channel, shaker-related subfamily, member 3; K04876 potassium voltage-gated channel Shaker-related subfamily A member 3 (A)
K04877	KCNA4, HBK4, HK1, HPCN2, HUKII, KCNA4L, KCNA8, KV1.4, PCN2; potassium voltage-gated channel, shaker-related subfamily, member 4; K04877 potassium voltage-gated channel Shaker-related subfamily A member 4 (A)
K04878	KCNA5, ATFB7, HCK1, HK2, HPCN1, KV1.5, PCN1; potassium voltage-gated channel, shaker-related subfamily, member 5; K04878 potassium voltage-gated channel Shaker-related subfamily A member 5 (A)
K04879	KCNA6, HBK2, KV1.6; potassium voltage-gated channel, shaker-related subfamily, member 6; K04879 potassium voltage-gated channel Shaker-related subfamily A member 6 (A)
K04880	KCNA7, HAK6, KV1.7; potassium voltage-gated channel, shaker-related subfamily, member 7; K04880 potassium voltage-gated channel Shaker-related subfamily A member 7 (A)
K04881	KCNA10, Kcn1, Kv1.8; potassium voltage-gated channel, shaker-related subfamily, member 10; K04881 potassium voltage-gated channel Shaker-related subfamily A member 10 (A)
K04882	KCNAB1, AKR6A3, KCNA1B, KV-BETA-1, Kvb1.3, hKvBeta3, hKvb3; potassium voltage-gated channel, shaker-related subfamily, beta member 1; K04882 potassium voltage-gated channel Shaker-related subfamily A, beta member 1 (A)
K04883	KCNAB2, AKR6A5, HKvbeta2, HKvbeta2.1, HKvbeta2.2, KCNA2B, KV-BETA-2; potassium voltage-gated channel, shaker-related subfamily, beta member 2; K04883 potassium voltage-gated channel Shaker-related subfamily A, beta member 2 (A)
K04884	KCNAB3, AKR6A9, KCNA3.1B, KCNA3B, KV-BETA-3; potassium voltage-gated channel, shaker-related subfamily, beta member 3; K04884 potassium voltage-gated channel Shaker-related subfamily A, beta member 3 (A)
K04885	KCNB1, DRK1, KV2.1, h-DRK1; potassium voltage-gated channel, Shab-related subfamily, member 1; K04885 potassium voltage-gated channel Shab-related subfamily B member 1 (A)
K04886	KCNB2, KV2.2; potassium voltage-gated channel, Shab-related subfamily, member 2; K04886 potassium voltage-gated channel Shab-related subfamily B member 2 (A)
K04887	KCNC1, KV3.1, KV4, NGK2; potassium voltage-gated channel, Shaw-related subfamily, member 1; K04887 potassium voltage-gated channel Shaw-related subfamily C member 1 (A)
K04888	KCNC2, KV3.2; potassium voltage-gated channel, Shaw-related subfamily, member 2; K04888 potassium voltage-gated channel Shaw-related subfamily C member 2 (A)
K04889	KCNC3, KSHIIID, KV3.3, SCA13; potassium voltage-gated channel, Shaw-related subfamily, member 3; K04889 potassium voltage-gated channel Shaw-related subfamily C member 3 (A)
K04890	KCNC4, C1orf30, HKSHIIIC, KSHIIIC, KV3.4; potassium voltage-gated channel, Shaw-related subfamily, member 4; K04890 potassium voltage-gated channel Shaw-related subfamily C member 4 (A)
K04891	KCND1, KV4.1; potassium voltage-gated channel, Shal-related subfamily, member 1; K04891 potassium voltage-gated channel Shal-related subfamily D member 1 (A)
K04892	KCND2, KV4.2, RK5; potassium voltage-gated channel, Shal-related subfamily, member 2; K04892 potassium voltage-gated channel Shal-related subfamily D member 2 (A)
